ordering,batch,total_s,s_per_seq,speedup,peak_gb
naive order,1,132.8678041589996,2.076059439984369,1.0,14.465085952
naive order,2,142.66067269300015,2.2290730108281274,0.9313555141081215,14.66325248
naive order,4,175.973988083,2.749593563796875,0.7550422969122635,15.06048768
length-sorted,1,130.69645534799986,2.042132114812498,1.0,14.465327616
length-sorted,2,105.54100862100063,1.6490782597031348,1.2383476058802207,14.663135744
length-sorted,4,97.93345053500025,1.5302101646093789,1.334543556200856,15.060830208
