model,condition,collapsed,n,collapse_rate,ci_lo,ci_hi,mean_plddt,mean_entropy,mean_len,fold_ok
piggen,CONTROL,1,100,0.01,0.0017674320635595805,0.054486196195672236,74.4526316523552,3.760377124655007,50.0,100
piggen,L1,17,100,0.17,0.1089356611290986,0.2554800476985473,68.4572514295578,3.7574987785009535,50.0,100
piggen,L3,2,100,0.02,0.00550196754868966,0.07001179074606804,73.41827440261841,3.788319017065401,50.0,100
