dose_mult,collapse,plddt,p_collapse,p_plddt,delta_rate,delta_plddt,responsive,model,alpha_rel
2.0,0.96,48.21000361442566,0.02321542174514537,0.005205880435150824,0.2799999999999999,-7.756718158721924,True,zymctrl,0.40000947542144716
3.0,0.8,52.11970841884613,0.5201947495547621,0.17440038915018252,0.12,-3.8470133543014526,False,zymctrl,0.6000142131321707
4.0,0.8,51.255865812301636,0.5201947495547621,0.09140202473789936,0.12,-4.710855960845947,False,zymctrl,0.8000189508428943
6.0,0.72,52.03478121757507,1.0,0.13017242401938045,0.039999999999999925,-3.9319405555725098,False,zymctrl,1.2000284262643415
