model,condition,collapsed,n,collapse_rate,ci_lo,ci_hi,fold_ok,mean_plddt,mean_entropy,mean_len,top_aa,top_aa_frac
progen2,CONTROL,40,50,0.8,0.6696289406437537,0.8875624998575729,50,53.51561254262924,3.840655596195883,40.0,Q,0.0995
progen2,L3_D2x,43,50,0.86,0.7381380628604952,0.9304916657410964,50,52.83850485086441,3.8193982288294888,40.0,H,0.0925
progen2,L3_D4x,45,50,0.9,0.7863976855921404,0.956524235076295,50,50.473729491233826,3.828500535737875,40.0,Q,0.0835
progen2,L3_D8x,45,50,0.9,0.7863976855921404,0.956524235076295,50,50.15477395057678,3.8674026974673397,40.0,G,0.081
progen2,L11_D2x,44,50,0.88,0.7619518261345741,0.9438239985004393,50,50.83011728525162,3.8263958144946173,40.0,H,0.087
progen2,L11_D4x,47,50,0.94,0.8378290830794766,0.9793850296558022,50,50.81798046827316,3.8339048246377065,40.0,E,0.0775
progen2,L11_D8x,42,50,0.84,0.7148578393358205,0.9166257932323494,50,52.00503432750702,3.852785761852806,40.0,G,0.0965
