dose_mult,collapse,plddt,p_collapse,p_plddt,delta_rate,delta_plddt,responsive,model,alpha_rel
2.0,0.12,69.40562856197357,0.23469387755102045,0.006221606465691383,0.12,-4.849582552909851,True,piggen,0.40000947542144716
4.0,0.88,47.462291836738586,5.183109380324334e-11,1.5952353980947838e-09,0.88,-26.792919278144836,True,piggen,0.8000189508428943
8.0,1.0,46.467695474624634,1.5821457204897235e-14,1.4143787816207047e-09,1.0,-27.78751564025879,True,piggen,1.6000379016857886
