layer,hook_rate,legacy_rate,hook_plddt,legacy_plddt,diff_rate,diff_plddt,p_collapse,p_plddt,conventions_differ
1,0.09,0.09,71.33441030979156,70.55119973421097,0.0,0.7832105755805969,1.0,0.4026708765689534,False
3,0.04,0.01,73.0131983757019,74.18873274326324,0.03,-1.1755343675613403,0.36867076499247503,0.3302031768185262,False
