condition,collapsed,n,collapse_rate,ci_lo,ci_hi,fold_ok,mean_plddt,mean_entropy,mean_len
CONTROL,102,150,0.68,0.6016560025848542,0.7493547094385246,150,54.685094277064,3.572209479884938,60.0
L12,116,150,0.7733333333333333,0.6999980606621004,0.833018205743771,150,50.268841882546745,3.5337145857764565,60.0
L30,111,150,0.74,0.6644356718127055,0.8035786108851329,150,52.95406621694565,3.6887960939214692,60.0
