dose,alpha_rel,n,fold_ok,mean_plddt,mwu_p,entropy,collapsed,collapse_rate,ci_lo,ci_hi,fisher_p
0.0,0.0,50,50,52.64131909608841,,4.022269025651955,39,0.78,0.6475845041534792,0.8724608403144255,
1.0,0.20000473771072358,50,50,53.12876558303833,0.6816174943574651,3.9874133933143066,41,0.82,0.6920394632230499,0.9022980733116982,0.8031287822934504
2.0,0.40000947542144716,50,50,51.08858972787857,0.14974681521033806,4.083526892799502,44,0.88,0.7619518261345741,0.9438239985004393,0.2868853791782504
4.0,0.8000189508428943,50,50,52.77180063724518,0.4006656885851636,4.0553744957432585,41,0.82,0.6920394632230499,0.9022980733116982,0.8031287822934504
8.0,1.6000379016857886,50,50,52.568371653556824,0.43565104994078135,4.069464048742704,40,0.8,0.6696289406437537,0.8875624998575729,1.0
