model,condition,collapsed,n,collapse_rate,ci_lo,ci_hi,fold_ok,mean_plddt,mean_entropy
lightonai/RITA_s,CONTROL,45,50,0.9,0.7863976855921404,0.956524235076295,50,51.33511686325073,3.984895264408404
lightonai/RITA_s,L3_D4x,37,50,0.74,0.6044684273177043,0.8412847250833568,50,55.59802842140198,4.038089599651551
lightonai/RITA_s,L3_D8x,40,50,0.8,0.6696289406437537,0.8875624998575729,50,53.5859255194664,4.076717731333028
lightonai/RITA_s,L3_D16x,45,50,0.9,0.7863976855921404,0.956524235076295,50,50.80433654785156,4.105291907676951
lightonai/RITA_s,L11_D4x,41,50,0.82,0.6920394632230499,0.9022980733116982,50,52.619361996650696,4.152943458237399
lightonai/RITA_s,L11_D8x,42,50,0.84,0.7148578393358205,0.9166257932323494,50,52.46296787261963,4.155277964992581
lightonai/RITA_s,L11_D16x,43,50,0.86,0.7381380628604952,0.9304916657410964,50,52.02203994989395,4.167229535547661
