model,condition,collapsed,n,collapse_rate,ci_lo,ci_hi,fold_ok,mean_plddt,mean_entropy,mean_len,top_aa,top_aa_frac
mistralprot,CONTROL,50,50,1.0,0.9286524008355442,1.0,50,43.346211433410645,3.632140137419869,80.0,S,0.09375
mistralprot,L2_D1x,38,50,0.76,0.6258731623866494,0.8570260860478336,50,52.1250314116478,3.4917461750735637,80.0,L,0.20075
mistralprot,L2_D2x,24,50,0.48,0.34797135283731545,0.6148825511292628,50,60.72132498025894,3.170372899201407,80.0,L,0.2465
mistralprot,L2_D4x,2,50,0.04,0.0110388843246612,0.13460090690663823,50,69.3988026380539,2.5923396627189614,80.0,K,0.416
mistralprot,L7_D1x,41,50,0.82,0.6920394632230499,0.9022980733116982,50,49.624348640441895,3.5659293520360875,80.0,L,0.10725
mistralprot,L7_D2x,40,50,0.8,0.6696289406437537,0.8875624998575729,50,48.981429517269135,3.6162333817868437,80.0,K,0.1485
mistralprot,L7_D4x,43,50,0.86,0.7381380628604952,0.9304916657410964,50,44.84408092498779,3.7032866224339345,80.0,K,0.14925
