layer,metric,value,sd,min
1,convention,0.1563601791858673,,
3,convention,0.22086094319820404,,
1,split_half_hook,0.7375710576772689,0.1037375070947605,0.4982031583786011
3,split_half_hook,0.8389206320047379,0.09046917191102025,0.6443673968315125
1,split_half_legacy,0.7859377145767212,0.08632773849173103,0.5615005493164062
3,split_half_legacy,0.7493229925632476,0.14342224825984126,0.40615254640579224
