condition,collapsed,n,collapse_rate,ci_lo,ci_hi,fold_ok,mean_plddt,mean_entropy,mean_len
CONTROL,3,100,0.03,0.010254524021666073,0.08451936430861749,100,73.81415683031082,3.7674100049353028,50.0
L1_HOOK,9,100,0.09,0.04807253999560709,0.16226212854783176,100,71.33441030979156,3.729011735923688,50.0
L3_HOOK,4,100,0.04,0.015663303988310957,0.0983707143774985,100,73.0131983757019,3.78100440856766,50.0
L1_LEGACY,9,100,0.09,0.04807253999560709,0.16226212854783176,100,70.55119973421097,3.748116989310824,50.0
L3_LEGACY,1,100,0.01,0.0017674320635595805,0.054486196195672236,100,74.18873274326324,3.7754661796777715,50.0
