condition,collapsed,n,collapse_rate,ci_lo,ci_hi,fold_ok
CONTROL,0,50,0.0,0.0,0.0713475991644559,50
L1_MATCHED_1x,0,50,0.0,0.0,0.0713475991644559,50
L1_MATCHED_2x,0,50,0.0,0.0,0.0713475991644559,50
L3_MATCHED_1x,0,50,0.0,0.0,0.0713475991644559,50
L3_MATCHED_2x,0,50,0.0,0.0,0.0713475991644559,50
