model,auc_10,auc_20,auc_30,auc_full,retention_30
ProtGPT2 (§3g),0.682,0.72,0.74,0.78,0.9487179487179487
ZymCTRL,0.5967776440888568,0.6427418160827773,0.6461928175314903,0.6583791561480349,0.9814903942466178
RITA-small,0.5033950617283951,0.4959876543209877,0.494753086419753,0.5064814814814815,0.97684338817794
