batch,total_s,s_per_seq,speedup,peak_gb
1,30.507969584000193,0.476687024750003,1.0,3.496849408
2,22.098103135000315,0.3452828614843799,1.3805696080619618,3.516172288
4,16.15823603900003,0.2524724381093755,1.888075499724425,3.554814976
8,10.580961636999916,0.1653275255781237,2.8832889325785613,3.636703744
16,5.262137946999985,0.08222090542187477,5.797637745584605,3.80226304
