model,condition,collapsed,n,collapse_rate,ci_lo,ci_hi,fold_ok,mean_plddt,mean_entropy
nferruz/ProtGPT2,CONTROL,24,50,0.48,0.34797135283731545,0.6148825511292628,50,59.8264844417572,2.7637472932336866
nferruz/ProtGPT2,L12_D1x,27,50,0.54,0.403988713961299,0.6703034781055446,50,58.789612770080566,2.1203780839197437
nferruz/ProtGPT2,L12_D2x,26,50,0.52,0.38511744887073723,0.6520286471626846,50,59.56779992580414,2.315567591950924
nferruz/ProtGPT2,L30_D1x,26,50,0.52,0.38511744887073723,0.6520286471626846,50,59.5332652926445,2.3615375830762133
nferruz/ProtGPT2,L30_D2x,30,50,0.6,0.46181437744413967,0.723916102722969,50,58.34529709815979,2.209844338441313
