layer,fvu,l0,dead_frac,n_train_tokens,d_latent,topk,aux_k
12,0.02253340557217598,32.0,0.948437511920929,721030,2560,32,256
30,0.09314567595720291,32.0,0.466796875,721030,2560,32,256
