model,condition,collapsed,n,collapse_rate,ci_lo,ci_hi,fold_ok,mean_plddt,mean_entropy
hugohrban/progen2-small,CONTROL,28,50,0.56,0.4230602801857627,0.6883780079145027,50,59.121253073215485,2.1922907329361117
hugohrban/progen2-small,L3_D1x,34,50,0.68,0.5418970268853773,0.7924178374154187,50,57.26502180099487,2.26187811378037
hugohrban/progen2-small,L3_D2x,36,50,0.72,0.5833487630067897,0.8252582933608497,50,56.54892981052399,2.4969543284957054
hugohrban/progen2-small,L3_D4x,33,50,0.66,0.5215382604694402,0.7756305077979341,50,56.37778723239899,2.739487223258166
hugohrban/progen2-small,L3_D8x,41,50,0.82,0.6920394632230499,0.9022980733116982,50,54.791685819625854,3.197238524039256
hugohrban/progen2-small,L11_D1x,32,50,0.64,0.5014101687285786,0.7586125035053739,50,57.84030681848526,2.5352345804775864
hugohrban/progen2-small,L11_D2x,30,50,0.6,0.46181437744413967,0.723916102722969,50,58.33305609226227,2.760714281003841
hugohrban/progen2-small,L11_D4x,30,50,0.6,0.46181437744413967,0.723916102722969,50,57.84498739242554,2.5276545872268894
hugohrban/progen2-small,L11_D8x,34,50,0.68,0.5418970268853773,0.7924178374154187,50,56.939347088336945,2.694006647671206
