truncation,trunc_len,auc
10res,10,0.6388888888888888
10res,10,0.7344877344877344
10res,10,0.7258297258297257
10res,10,0.6973304473304474
10res,10,0.6439393939393939
10res,10,0.6850649350649349
10res,10,0.7283549783549783
10res,10,0.7038239538239538
10res,10,0.6381673881673882
10res,10,0.6843434343434343
10res,10,0.6056998556998556
10res,10,0.6576479076479077
10res,10,0.6424963924963926
10res,10,0.7063492063492063
10res,10,0.7312409812409811
20res,20,0.7665945165945165
20res,20,0.7500000000000001
20res,20,0.7023809523809523
20res,20,0.7323232323232323
20res,20,0.6684704184704184
20res,20,0.7211399711399711
20res,20,0.7085137085137084
20res,20,0.7521645021645021
20res,20,0.6872294372294372
20res,20,0.7168109668109668
20res,20,0.637085137085137
20res,20,0.7081529581529582
20res,20,0.7196969696969696
20res,20,0.7615440115440115
20res,20,0.7662337662337662
30res,30,0.7676767676767677
30res,30,0.7049062049062049
30res,30,0.7514430014430014
30res,30,0.7835497835497836
30res,30,0.7211399711399711
30res,30,0.7290764790764791
30res,30,0.73015873015873
30res,30,0.7395382395382395
30res,30,0.7763347763347764
30res,30,0.7398989898989898
30res,30,0.6612554112554112
30res,30,0.7438672438672439
30res,30,0.7496392496392497
30res,30,0.7564935064935064
30res,30,0.7474747474747474
full,-1,0.7723665223665224
full,-1,0.7702020202020202
full,-1,0.7694805194805194
full,-1,0.8217893217893217
full,-1,0.7911255411255411
full,-1,0.8116883116883118
full,-1,0.7092352092352093
full,-1,0.7932900432900433
full,-1,0.8059163059163059
full,-1,0.7824675324675325
full,-1,0.7204184704184704
full,-1,0.8170995670995671
full,-1,0.7247474747474747
full,-1,0.7694805194805194
full,-1,0.8347763347763348
