model,truncation,auc
ZymCTRL,10,0.6004784688995215
ZymCTRL,10,0.6286721504112809
ZymCTRL,10,0.5233253588516746
ZymCTRL,10,0.4736842105263158
ZymCTRL,10,0.5898942420681551
ZymCTRL,10,0.4829612220916569
ZymCTRL,10,0.7215041128084606
ZymCTRL,10,0.6345693779904306
ZymCTRL,10,0.6459330143540669
ZymCTRL,10,0.541267942583732
ZymCTRL,10,0.6501196172248804
ZymCTRL,10,0.5781433607520564
ZymCTRL,10,0.6883971291866029
ZymCTRL,10,0.5511163337250293
ZymCTRL,10,0.6415981198589894
ZymCTRL,20,0.5819377990430622
ZymCTRL,20,0.6439482961222092
ZymCTRL,20,0.7057416267942584
ZymCTRL,20,0.5651913875598086
ZymCTRL,20,0.6650998824911869
ZymCTRL,20,0.627497062279671
ZymCTRL,20,0.63689776733255
ZymCTRL,20,0.6208133971291866
ZymCTRL,20,0.6124401913875598
ZymCTRL,20,0.6602870813397128
ZymCTRL,20,0.7069377990430622
ZymCTRL,20,0.6756756756756757
ZymCTRL,20,0.6866028708133971
ZymCTRL,20,0.6198589894242068
ZymCTRL,20,0.6321974148061105
ZymCTRL,30,0.6435406698564593
ZymCTRL,30,0.6357226792009402
ZymCTRL,30,0.6913875598086124
ZymCTRL,30,0.6088516746411483
ZymCTRL,30,0.6521739130434783
ZymCTRL,30,0.6286721504112809
ZymCTRL,30,0.6380728554641598
ZymCTRL,30,0.6626794258373205
ZymCTRL,30,0.6226076555023923
ZymCTRL,30,0.6052631578947368
ZymCTRL,30,0.7440191387559809
ZymCTRL,30,0.6674500587544065
ZymCTRL,30,0.6650717703349281
ZymCTRL,30,0.6016451233842539
ZymCTRL,30,0.6257344300822563
ZymCTRL,-1,0.6261961722488039
ZymCTRL,-1,0.6316098707403056
ZymCTRL,-1,0.7188995215311005
ZymCTRL,-1,0.6046650717703349
ZymCTRL,-1,0.6609870740305523
ZymCTRL,-1,0.6786133960047004
ZymCTRL,-1,0.6186839012925969
ZymCTRL,-1,0.6812200956937798
ZymCTRL,-1,0.6519138755980861
ZymCTRL,-1,0.5962918660287082
ZymCTRL,-1,0.7314593301435406
ZymCTRL,-1,0.6486486486486487
ZymCTRL,-1,0.7033492822966507
ZymCTRL,-1,0.6216216216216216
ZymCTRL,-1,0.7015276145710928
